#separator:Semicolon
#html:false
What is the basic input-output relation of an op-amp?;vout = A_d·(v₊ − v₋) — a differential amplifier with a huge but ill-defined gain A_d.
What is PSRR and how does it relate to CMRR?;The power-supply rejection ratio — the same 20·log₁₀ ratio, but measuring output sensitivity to a supply-voltage change instead of a common-mode input. Datasheets list both (LM741: each ~86 dB).
What is the common-mode dynamic-range caveat?;High CMRR only helps inside the allowed common-mode window (e.g. V_ee+1.5 V to V_cc−1.5 V). Push V_C outside it and the stages leave their linear region, so the quoted CMRR no longer applies.
Output voltage swing into a load: the two competing limits?;Vp is the smaller of the current limit Vp = I_MAX·R_L and the supply limit Vp = V_MAX (the rail minus the output stage's drop).
Crossover load between current- and supply-limited swing?;R_L* = V_MAX/I_MAX. Below it the output is current-limited, above it supply-limited.
Three imperfections that create an output offset with zero input?;The input offset voltage V_OFF, the input bias current I_BIAS, and the input offset current I_OFF.
How do you cancel the bias-current contribution to the output offset?;Add R3 = R1∥R2 on the + terminal (equal resistance seen from each input). The I_BIAS term then vanishes.
What remains of the output offset after R3 cancels the bias term?;vout,OFF = V_OFF·(1 + R2/R1) + I_OFF·R2.
How do you bound R2 from above to control offset?;Make the offset-current term small versus the offset-voltage term: R2 ≪ (V_OFF/I_OFF)·A_V. If V_OFF still dominates, pick a better op-amp.
Can the input offset voltage V_OFF be cancelled by adding resistors?;No. Only a better part or a trim helps. Resistors (R3) only cancel the bias-current term.
What does a single pole do to magnitude and phase?;Bends the asymptotic magnitude down by 20 dB/decade and rotates the phase by −90° — starting a decade before the pole, −45° at the pole, complete a decade after.
Why is stability read on T = A_d·β, not on A_d alone?;The poles live in A_d (the device). β (your resistors) only slides the magnitude up or down without touching the phase. So |T| is |A_d| shifted by |β| and its phase equals that of A_d.
Why is the voltage follower the worst case for stability?;Lowering the closed-loop gain raises β, lifts |T|, and pushes the 0 dB crossing to a higher, more dangerous frequency. β = 1 (the follower) gives the highest |T|.
Total loop phase shift, and when does feedback turn positive?;φ_FB = 180° + ∠T. Feedback stays negative while φ_FB is far from 360°. Where the poles drag ∠T → −180° the feedback turns positive and oscillation is possible.
Define phase margin and the design target.;φ_M = 180° + ∠T measured where |T| = 0 dB. A design wants φ_M ≥ 45°.
Why is φ_M = 45° the same as crossing 0 dB at the second pole?;A pole eats 45° at its own frequency, so |T| = 0 dB exactly at f_p2 leaves φ_M = 45°.
During compensation, why may β never be touched?;β is fixed by the wanted closed-loop gain. All compensation acts on the device gain A_d to bring |T| to 0 dB no later than f_p2.
Compensation Method 1 (lower A_d): what it does and its drawback?;Slides the whole |A_d| curve down (no pole moved) until |T(f_p2)| = 0 dB. It guts the DC loop gain and throws away feedback benefits — so it is avoided.
Compensation Method 2.1 (external cap): what and why is it best?;Add a cap on the compensation pins to drag f_p1 down to f_p2/T0 so |T| hits 0 dB exactly at f_p2. Keeps the full DC loop gain and gives the best bandwidth f_T = f_p2. Needs compensation pins.
Compensation Method 2.2 (internally compensated part): what and trade-off?;The maker fixes f_p1 = f_p2/A_d0 for the worst case (the follower). Stable for any A_V ≥ 1, keeps the full DC loop gain, easiest to use (LM741, TL08x), but bandwidth shrinks as gain rises.
Compensation Method 3 (add a new dominant pole p0): what and drawback?;Insert a new low-frequency pole f_p0 = f_p1/T0 below f_p1 so rolloff starts very early. Keeps DC loop gain but gives the worst bandwidth of all.
Which compensation methods keep full DC loop gain, with best vs worst bandwidth?;Method 2.1 (external cap) keeps full loop gain with the best bandwidth f_T = f_p2. Method 3 (new dominant pole) also keeps full loop gain but gives the worst bandwidth.
Gain-Bandwidth Product relation for an internally compensated op-amp?;f_T = GBWP/A_V0. Gain and bandwidth trade one-for-one — doubling the gain halves the bandwidth. The follower gets the whole GBWP.
For an inverting stage, which gain goes into the GBWP formula?;The equivalent non-inverting gain, A_V0 = |A_inv| + 1.
Two fixes when GBWP gives too little bandwidth?;Pick a faster op-amp (GBWP ≥ A_V0·f_C), or split the gain across cascaded stages so each keeps a higher f_T.
How is the stability of an inverting stage analysed?;Same feedback network as the non-inverting one, so the same β = R1/(R1+R2) and same T = A_d·β. Analyse it as a non-inverting stage of gain 1/β.
Define slew rate and its physical cause.;SR = max(dvout/dt) = I_s/C_c, set by the largest current I_s the op-amp can push into its compensation capacitor C_c. It is a large-signal limit.
Bandwidth-limited vs slew-limited rise time on a step?;Small steps: t = 0.35/BW, set by bandwidth, independent of step height. Large steps: t = 0.8·V_H/SR, grows with step height as the output ramps at SR.
Full-power bandwidth condition for a sinusoid?;The output stays undistorted while V_p·ω ≤ SR, i.e. V_p ≤ SR/(2π·f). The usable amplitude falls off as 1/f.
How do you tell whether a design is bandwidth- or slew-limited?;Max gain from GBWP is G_max = GBWP/f0, max undistorted amplitude from SR is V_p < SR/(2π·f0). Whichever bound bites first limits the design. If both are respected there is no limitation.
Audio amplifier: the role of each of its three capacitors?;C3 AC-couples the input (blocks input DC), C1 forces unity DC gain (kills offset amplification), C2 rolls off the high end.
Audio amplifier: how are the band edges set?;High end pole f_H = 1/(2π·R2·C2). Low end poles f_p1 = 1/(2π·R1·C1) = f_L and f_p3 = 1/(2π·R3·C3), the latter placed a decade below f_L.
Generalised adder/subtractor: how are the coefficient resistors chosen?;Fix R_f, then each coefficient gets R = R_f/|A|. Minus signs go to the inverting side, plus signs to the non-inverting side.
Adder/subtractor: the balancing condition?;Require (1 + ΣA''_i)/ΣA'_j = 1. If greater than 1, add a resistor to ground on the + side. If less, add one on the − side. This also equalises the input resistances, minimising offset.
Integrator: transfer relation and waveform responses?;vout(t) = −(1/RC)·∫vin dt (a pole at the origin). A constant input gives a ramp, a square wave gives a triangle, a sine is scaled by 1/(ωRC) and shifted +90° on top of the inversion.
Why does the ideal integrator fail as drawn, and what is the fix?;At DC the capacitor is open so there is no feedback — offset and bias current integrate unopposed and the output winds up to a rail. Fix: a resistor R2 across C restores DC feedback (gain −R2/R), moving the origin pole to f_p = 1/(2π·R2·C).
Peak-to-peak triangle from a square wave through an integrator?;V_pp = V_in·(T/2)/RC over each half period of the input square wave.
What is an op-amp comparator?;An op-amp used without negative feedback, so v_d is not driven to zero and the output saturates — VOH when v₊ > v₋, VOL otherwise. It reports which input is larger.
How does the input-terminal choice set comparator polarity?;Non-inverting (signal on +): output high for vin > VREF. Inverting (signal on −): output high for vin < VREF.
Why does a bare comparator chatter near its threshold?;Noise of amplitude ±N_A rides on vin. Inside the band VREF ± N_A the output depends on the instantaneous noise and shows random oscillations. The output is guaranteed only for |vin − VREF| > N_A.
The cure for comparator chatter and its design rule?;Hysteresis — a Schmitt trigger — with ∆V_S > 2·N_A (twice the noise amplitude).
Inverting Schmitt: the + node voltage?;v₊ = VREF·R2/(R1+R2) + vout·R1/(R1+R2), so the trip point seen by vin depends on the output state.
Inverting Schmitt: hysteresis width?;∆V_S = VS1 − VS2 = [R1/(R1+R2)]·(VOH − VOL).
Inverting Schmitt: why is VREF not the centre of the hysteresis?;VS,avg = VREF·R2/(R1+R2) + [(VOH+VOL)/2]·R1/(R1+R2). The output-level term means VS,avg ≠ VREF, and even for symmetric levels VS,avg = VREF·R2/(R1+R2).
Non-inverting Schmitt: hysteresis width and the key difference?;∆V_S = (R1/R2)·(VOH − VOL). The ratio is R1/R2 rather than R1/(R1+R2), so the hysteresis can even exceed VOH − VOL.
Non-inverting Schmitt: why watch the source resistance?;The source drives the divider through R1, so its output resistance adds to R1 and widens the hysteresis. Buffer the source or keep R1 ≫ R_S.
What is an astable multivibrator?;A square-wave oscillator with no input — an inverting Schmitt whose output charges and discharges an RC between its two thresholds, flipping at each threshold forever.
Astable period for symmetric levels and thresholds?;T = 2τ·ln(1 + 2R1/R2) with τ = RC, giving equal half-periods and exactly 50 percent duty. With R1 = R2, T = 2τ·ln 3 ≈ 2.2τ.
When is the astable duty cycle exactly 50 percent?;Only when the output levels and thresholds are symmetric (VOL = −VOH, VREF = 0). Otherwise the two half-periods differ.
Triangle/square generator: why an integrator instead of a passive RC?;The RC capacitor wave is a chain of exponentials. A constant input to an integrator gives an exactly constant slope, so the ramps are truly straight.
Triangle/square generator: why a non-inverting Schmitt?;The integrator inverts, so the comparator must be the non-inverting Schmitt (with VREF = 0). Otherwise the loop latches instead of oscillating.
Triangle/square generator: what sets the triangle's peak amplitude?;The Schmitt thresholds. For symmetric levels the peaks are ±VOH·R1/R2, from VS1 − VS2 = (VOH − VOL)·R1/R2.
Three single-knob variants of the triangle/square generator?;Variable frequency (R as a potentiometer, period linear in RC), variable offset (a VREF on the comparator − terminal shifts the triangle), variable duty (split R into two diode-selected resistances, making a sawtooth).
What does rail-to-rail mean?;An op-amp whose output (and sometimes input) range extends all the way to the supply rails instead of stopping a volt or so short.
Why is a bare op-amp useless as an amplifier without feedback?;Its linear input window is vanishingly narrow, ∆v_d,lin = (Vcc − Vee)/A_d — only ~300 µV for ±15 V and A_d = 10⁵ — so it saturates almost instantly.
Open-loop versus closed-loop gain?;Open-loop is the raw A_d with no feedback. Closed-loop (A_V, G) is the controlled gain once feedback is wrapped around it.
What is the loop gain T and what does it tell you?;T = A_d·β, the gain once around the loop. It is the single number saying how ideal the circuit is — large T means feedback works well, while a high-gain stage (small β) has a small T and reaps fewer benefits.
Negative versus positive feedback: where does each go and what does it do?;Negative feedback returns output to the − input — it stabilises gain to resistor ratios, raises Rin, lowers Rout, widens bandwidth. Positive feedback returns output to the + input — it is regenerative, the basis of Schmitt triggers and oscillators.
Maximum output current I_MAX and its consequence?;The largest current the output can source or sink (often ~20 mA). It feeds both the load and the feedback network, so the feedback share is kept below I_load/10, which sets a lower bound on R2.
Input offset current I_OFF versus input bias current I_BIAS?;I_BIAS is the average DC current the two inputs draw. I_OFF is the smaller imbalance between them. R3 = R1∥R2 cancels the bias term, leaving I_OFF, which is bounded by keeping R2 small.
Hysteresis mean VS,avg and a common trap?;VS,avg = ½(VS1 + VS2), the centre of the hysteresis window. It is not equal to VREF because an output-level term is added through the divider.
Lab: how is the closed-loop gain of an inverting amp measured?;Apply a small sinusoid in the linear range, read V_pp,in and V_pp,out, take A_V = −V_pp,out/V_pp,in, and compare with the design −R_f/R_in.
Lab: how does the step response separate bandwidth from slew rate?;A small step (e.g. 0.1 V) gives a bandwidth-limited edge t_rise ≈ 0.35/BW. A large step (e.g. 2 V) hits the slew rate and the edge becomes a straight ramp, so SR ≈ ∆V/∆t.
What terminals does an op-amp have, and what is special about the supply pins?;Two inputs (+ non-inverting and − inverting), one output, and two supply pins Vcc/Vdd and Vee/Vss. The supplies are usually omitted from schematics but are always present in the real circuit, and they set the output's saturation limits.
What are the three internal stages of an op-amp, and what does each provide?;A differential input pair (very high input impedance), a high-gain amplifier stage (most of the voltage gain), and a power output stage (no voltage gain, very low output impedance). Each stage adds a parasitic pole, giving A_d its three poles.
What is the E12 standard resistor series, and why does it barely affect gain accuracy?;A set of preferred values per decade (1.0, 1.2, 1.5, 1.8, 2.2, 2.7, 3.3, 3.9, 4.7, 5.6, 6.8, 8.2) usually at 5% tolerance. Rounding a computed resistor to the nearest E12 value shifts the gain by far less than the 5% tolerance already allows, so it costs almost nothing.
Where does the gain error of a feedback amplifier mostly come from, and how big is it?;From the resistor tolerances, not the op-amp — the gain is a ratio, so its relative error is the sum of the two resistors' relative errors (the +1 term is exact). Two 5% resistors give roughly ±10% gain error, usually dominating the finite-A_d error.
A target gain fixes only the resistor ratio — what pins down the absolute values?;The ratio R2/R1 sets the gain, leaving one degree of freedom. The absolute values are bounded by IMAX (a lower bound on R2 so the feedback current stays small), by offset (an upper bound on R2 so the offset-current term stays small), and by GBWP and noise.
Why do real op-amp inputs draw a bias current, and which technology is worse?;The input transistors need a small base or gate current to operate, so the inputs are not truly open. It is much larger for BJT-input op-amps than for FET-input ones, where the gate current is nearly zero.
What is the gain margin of a feedback amplifier?;How far below 0 dB the loop gain |T| has fallen at the frequency where its phase reaches −180° (where feedback turns positive). Together with the phase margin it says how safely the design avoids oscillation.
Does the Gain-Bandwidth Product apply to every op-amp?;No — only to internally compensated ones (method 2.2), where f_T = GBWP/A_V0 so bandwidth shrinks as gain rises. An externally compensated op-amp (method 2.1) can be tuned so |T| hits 0 dB at f_p2 for the actual gain, giving bandwidth f_T = f_p2 regardless of gain.
What does the bandwidth of an amplifier mean precisely?;The small-signal −3 dB frequency — the highest frequency that passes essentially unattenuated. A small signal above it is attenuated. It is distinct from the slew rate, which is a large-signal limit.
Why does a discrete difference amplifier have a worse CMRR than theory predicts, and what solves it?;Its common-mode gain is zero only if the resistor ratios match exactly. Real resistor tolerances unbalance them and raise A_C. A purpose-built instrumentation amplifier trims this to give a high, guaranteed CMRR.
What kind of output does a comparator produce, and how is it used with logic?;A binary two-level output that saturates to VOH or VOL depending on which input is larger. It can be conditioned to TTL or other logic-level thresholds so it drives digital circuitry directly.
What supply does an astable multivibrator need, and how does it start oscillating?;An inverting-Schmitt astable needs a bipolar supply (or an added VREF) to place its thresholds symmetrically. It self-starts — at power-up any imbalance immediately drives the output to a rail and it falls into the charge/discharge loop on its own.
In a triangle/square generator, why are the integrator's offset and bias currents not a problem?;Because the integrator is continuously driven by the comparator's square wave, its output is forever ramping between the two thresholds and being turned around — it never sits long enough for offset or bias to wind it up to a rail, unlike a standalone integrator.
Lab: the difference method for Rin and Rout?;Toggle one element (a series resistor or a load) and read how a node moves — the change reveals Rin, Rout or a current limit. Undoing a near-equal divider explodes the uncertainty, so quote Rin only to an order of magnitude.
Lab: why is the virtual ground only approximate?;Negative feedback drives v_d = vout/A_d toward zero, so with A_d ~ 2×10⁵ the − node sits within millivolts of zero (about 0.5 mV here), 180° out of phase with the output — not exactly zero.
