#separator:Semicolon
#html:false
What two numbers run through all power-supply design?;Ripple ∆V (how far the output sags between recharges) and efficiency η = Pout/Pin.
Buck-Boost converter CCM transfer ratio?;Vout = −δ/(1 − δ)·Vin (inverting, either step up or down).
How do you choose the converter topology?;From Vout versus Vin: step-down → Buck, step-up → Boost, invert or either direction → Buck-Boost.
What principle fixes the CCM transfer ratios?;Volt-second balance — in steady state the average inductor voltage is zero over a period. For the Buck, (Vin − Vout)·δ = Vout·(1 − δ), giving Vout = δ·Vin.
Are CCM converter ratios load- or line-dependent?;Independent of load (ideal load regulation) but strongly dependent on Vin (poor line regulation). The controller fixes line regulation by trimming δ.
CCM/DCM boundary current of a buck converter?;I_B = Vout·(Vin − Vout)/(2·L·f_sw·Vin), which is half the inductor-current ripple. Iout > I_B means CCM, Iout < I_B means DCM.
Minimum inductance for CCM in a buck?;From requiring the ripple ∆I_L = (Vin − Vout)·δ/(L·f_SW) ≤ 2·I_out,min: L_min = (Vin − Vout)·δ/(2·I_out,min·f_SW). Below it the converter enters DCM.
What usually sets the output ripple of a switching regulator?;The ESR of the output capacitor, not its capacitance: ∆Vout = ∆I_C·ESR.
Why is a boost converter's feedback loop deliberately slow?;The boost is prone to instability (a right-half-plane zero), so its loop gain is designed with low bandwidth — it reacts slowly to load changes but does not oscillate.
What is a Flyback converter?;A Buck-Boost whose inductor becomes a transformer, adding galvanic isolation, a turns-ratio degree of freedom, selectable output polarity, and multiple outputs.
What is the standard active PFC stage?;A Boost run from the rectified mains — by shaping the inductor current to follow the input voltage it presents a near-resistive load to the grid.
When characterising a switcher, what is the single most important question and why?;Which conduction mode it is in (CCM or DCM), because every dynamic formula depends on the answer.
How does a switcher's behaviour split into static and dynamic?;Static (DC in/out, regulation, efficiency) is a multimeter job. Dynamic (the switching ripple) is a scope job.
How do you decide CCM vs DCM on the bench?;Measure Vin, Vout and Iout = Vout/RL, compute the boundary current I_B from nominal L and f_sw, then Iout > I_B is CCM and Iout < I_B is DCM.
What is load regulation as measured on the bench?;The output droop from no-load to full-load, ∆Vout = Vout,noload − Vout,load — read against the datasheet spec.
Why read the switching ripple in AC coupling?;So the small ripple is not lost on top of the large DC level. You then recover f_sw = 1/T_sw and δ = T_on/T_sw from the trace.
Why is the light-load efficiency of a switcher poor?;The converter's own quiescent and switching losses are a large fraction of a small output power, so the efficiency-vs-load curve climbs steeply out of light load and flattens high.
Handy reference: peak voltage of 230 V_RMS mains?;V_p = √2·230 = 325 V.
In CCM, what are the two phases of the inductor current each cycle?;During T_ON (SW1 closed) v_L is positive so I_L ramps up linearly, during T_OFF (SW1 open) v_L is negative so I_L ramps down — a triangular wave that in CCM never reaches zero.
What inductor voltages drive a Buck in CCM, and what ratio do they give?;On: v_L = +(Vin − Vout) for δ·T_SW, off: v_L = −Vout for (1−δ)·T_SW. Average-zero (volt-second balance) gives (Vin − Vout)·δ = Vout·(1−δ), so Vout = δ·Vin.
What inductor voltages drive a Boost in CCM, and what ratio do they give?;On: v_L = +Vin for δ·T_SW (inductor tied across the input), off: v_L = Vin − Vout (negative) for (1−δ)·T_SW. Average zero gives Vin = Vout·(1−δ), so Vout = Vin/(1−δ).
What inductor voltages drive a Buck-Boost in CCM, and what ratio do they give?;On: v_L = +Vin for δ·T_SW, off: v_L = Vout (negative) for (1−δ)·T_SW. Average zero gives Vin·δ = −Vout·(1−δ), so Vout = −δ/(1−δ)·Vin.
Why is the current in SW1 (the transistor) a pulsed waveform?;It equals the inductor current while SW1 is closed (during T_ON) and drops to zero while SW1 is open (during T_OFF) — an abrupt pulse, not a smooth current.
Why is the current in SW2 (the diode) a pulsed waveform?;It carries the inductor current only while SW1 is open (T_OFF, the opposite phase) and is zero during T_ON — the complement of the SW1 pulse.
What is the consequence of the pulsed switch currents in a switcher?;They generate high-frequency noise at the switching frequency and its harmonics, which is why switchers need input/output filtering and careful layout.
What real losses does the ideal CCM transfer function neglect?;The diode forward voltage, the output-capacitor ESR, the inductor's series parasitic resistance, and the transistor voltage drop — so the real ratio drifts from the ideal δ relation, most visibly at low Vout.
Why must the duty cycle sweep over a range δ_MIN to δ_MAX in CCM?;Because the CCM ratio depends strongly on Vin (poor line regulation), the controller moves δ as Vin moves to hold Vout fixed. For a Buck δ = Vout/Vin, so the largest δ is needed at the lowest Vin.
Do the CCM transfer functions hold during a load transient?;No — only in steady state. During a transient such as a load-current step the output deviates significantly even with the controller running, and a linear regulator recovers much more cleanly.
What pushes a converter from CCM into DCM?;A low output current. Once Iout drops below the boundary (critical) current I_B = ΔI_L/2, the falling inductor current reaches zero before the cycle ends. No load (Iout ≈ 0) is therefore always DCM.
In DCM, what are the three phases of the inductor current?;T_ON (SW1 closed, I_L ramps up), T2 (SW1 open, I_L ramps down to zero), then T_idle (I_L sits at zero until the next cycle) — versus just two phases in CCM.
Physically, what is the CCM/DCM boundary current I_B?;Half the peak-to-peak inductor-current ripple, ΔI_L/2. It is the load current at which the triangular inductor current just grazes zero each cycle — the divide between CCM (Iout > I_B) and DCM (Iout < I_B).
In DCM, what does the output voltage depend on?;Not just δ — also the output current, the inductor value L and the switching frequency f_SW. The clean load-independent regulation of CCM is lost, so the controller has more to compensate.
What happens to a Buck's output in DCM if δ is left unchanged?;Vout rises above the CCM value δ·Vin, climbing toward Vin as the load current falls to zero. The controller must reduce δ to keep the output in regulation.
Buck DCM transfer function for a given output current Iout?;Vout = Vin / (1 + 2·L·Iout/(δ²·T_SW·Vin)). A lighter load (smaller Iout) raises Vout toward Vin — the load dependence that CCM does not have.
Buck DCM transfer function for a resistive load R_L?;Vout/Vin = (−1 + √(1 + 8·L·f_SW/(δ²·R_L))) / (4·L·f_SW/(δ²·R_L)). It depends on L, f_SW and R_L, unlike the CCM ratio Vout = δ·Vin.
Why does DCM call for a more complex controller than CCM?;Because Vout now varies with output current, inductor value and switching frequency, the controller must sense and compensate all three. In CCM it only had to trim δ to track Vin.
Which switching topology is run mainly in DCM, and why?;The Buck-Boost. In DCM it is stable, and the controller can compensate its dependence on output current, inductor value and switching frequency — sidestepping the feedback trouble that affects the Boost.
What makes a switching topology easy or hard to stabilise?;Feedback behaves well when Vout is proportional to δ (the Buck). The Boost is not, so it is prone to oscillation and is given a slow low-bandwidth loop, while the Buck-Boost is kept stable by running it in DCM.
Can a converter sit in DCM even at a higher input voltage?;Yes — conduction mode is set by load current, not line voltage. A light load at a high step-down ratio (say Vin = 24 V, Vout = 5 V, Iout ≈ 0.1 A below I_B ≈ 0.23 A) stays in DCM despite the heavier line.
What is the job of a power supply?;To transform an energy source into electrical quantities (voltage and current) compatible with the circuit it powers, while also meeting other specifications such as safety and electromagnetic compatibility.
What kind of source is a solar panel, and what does it need around it?;A non-linear DC source (≈0.5-0.6 V per cell, 20-40 V per module) whose voltage is unstable and whose current tracks irradiation, so it needs batteries for dark periods and an MPPT regulator that trims voltage and current to extract maximum power.
What characterises a battery as an energy source?;A portable DC source from chemical energy with a chemistry-dependent voltage (≈1.5 V alkaline, 3.7 V Li-ion, 12 V lead-acid) that drifts with State of Charge, a limited maximum current, and possible rechargeability.
What characterises a dynamo or alternator as a source?;It converts mechanical energy to electrical, the output can be DC or AC with frequency and amplitude proportional to rotation speed (a few volts for a dynamo up to hundreds for an alternator), so it always needs a regulator.
Why must mains be converted before powering electronics, and why is it dangerous?;It is a 230 V_RMS / 50 Hz sinusoid (peak ≈325 V) far above the few-volt rails electronics use, and direct contact can cause muscle tetanization, heart fibrillation, and burns.
What supply voltages do digital circuits typically need?;A constant, stable, low voltage — commonly 5 V or 3.3 V, but also 2.5, 1.8, 1.5, 1.2 V or lower, with further requirements on current, ripple and power.
What four areas make up a power supply's electrical specification?;Input specifications, output specifications, power dissipation, and transient (dynamic) behaviour.
What is a universal (wide-range) input specification?;An input range that lets one supply work worldwide, roughly 90 V_RMS to 265 V_RMS, covering both 110 V and 230 V mains with their ±10% tolerance.
Define sag, brownout and micro-interruption.;Input-voltage transients — a sag is a short (seconds) dip below nominal, a brownout is a long (minutes to hours) reduction, and a micro-interruption is a brief total loss of voltage.
What is inrush current?;The large current drawn at power-up while the input and filter capacitors charge from empty toward the peak — important to limit in supplies handling large powers.
What is hold-up time?;How long the output stays in spec after the input is removed (the output capacitors sustain it), often signalled so a microcontroller can save its state before the rail collapses.
Why should some switching supplies not be left without a load?;They may fail to regulate below a minimum output current — at light or no load they fall into DCM where the output voltage runs away unless the controller compensates.
How is output-current capability specified?;A maximum (continuous, plus a higher repetitive peak), a minimum (often 0, though some supplies need a minimum load), and a maximum rate of change max(dIout/dt).
Besides load and line, what else shifts a regulated output?;Ambient temperature, acting mainly through the voltage reference (specified in ppm/°C), and aging (specified in mV/month).
What does the dynamic (transient) response of a supply describe?;The time to bring the output back inside the acceptable range after a load-current step, plus the peak excursion during the transient — high peaks can damage the load and low peaks can reset a microcontroller.
What is an adjustable-output specification?;The output voltage can be set by the user (for example via external resistors) rather than being fixed at a single nominal value.
What three things must a power supply's protections guard?;The load (from output over-voltage, via disconnect circuits), the source (from excessive current, via a fuse), and the supply itself (from output shorts, input transients or lightning, and ambient extremes).
What does electromagnetic compatibility (EMC) require of a supply?;That it neither emits too much interference (radiated or conducted onto the power lines) nor malfunctions under received interference — verified for the CE mark by self-certification or an external certified lab.
What ambient temperature classes are used for electronics?;Civilian 0 to 70 °C, industrial −40 to 85 °C, automotive −40 to 125 °C, and military −50 to 125 °C, applying to mechanical as well as electrical specs.
What two reliability techniques shape supply design?;Derating (running components well below their maximum ratings) and redundancy (duplicating hardware for mission-critical space, medical or military systems).
What safety concerns shape a power supply?;Operator and environmental safety through electrical isolation (metallic or isolated case), fire safety (no dangerous gases), spark avoidance in flammable environments, and legal compliance.
What are the three pins of a wall socket, and where does Earth go?;Phase, Neutral and Earth — Earth is bonded to the metallic case so a fault trips protection instead of energising the chassis.
What does the mains fuse do, and what is special about replacing it?;It blows when current exceeds a threshold, disconnecting the circuit from the source. Unlike a breaker it must be physically replaced, and only after the cause of the over-current is fixed.
Why is the EMC filter in a classical supply bidirectional?;It blocks grid noise from disturbing the supply, and equally blocks the supply's own switching noise from polluting the grid.
What are the drawbacks of the mains transformer in a classical supply?;It is heavy, bulky, noisy and expensive — the main reasons the classical transformer supply is rarely used despite its clean output.
Why does the rectified voltage briefly sit at zero, and why is that usually harmless?;The diodes conduct only once the input exceeds their forward drop, so near each zero-crossing the output is clamped at zero — the following filter capacitor bridges that gap.
Why is the filter capacitor described as a peak detector?;It charges to the rectified peak during the brief conduction window and then holds it, discharging slowly and roughly linearly into the load, so the output tracks the peaks with only a small ripple.
What are the three kinds of AC power?;Active (real) power P delivered to the load, reactive power Q that only builds and collapses the fields in reactive components (averaging to zero), and apparent power S = √(P² + Q²) supplied by the source, measured in VA.
For a purely reactive load, how is the current phased — and which way for L versus C?;The current is 90° out of phase with the voltage, leading for a capacitor and lagging for an inductor, so the instantaneous power averages to zero and PF = 0.
How is Total Harmonic Distortion (THD) defined?;From the Fourier series of the current, THD = √(ΣH_i²)/H0 — the harmonic content relative to the fundamental H0. It is zero for a perfect sinusoid, and lower is better.
How do displacement and distortion combine into the total power factor?;PF = PF_disp · PF_dist = cos φ · 1/√(1+THD²) — the phase-shift factor times the waveform-distortion factor.
Why does a low power factor matter to the grid?;For the same delivered power a low PF draws more current from the source, lowering overall efficiency and stressing the grid when many such loads are present — so regulations mandate a minimum PF around 0.9.
With a purely reactive load, who pays for the circulating current?;Nobody on the load side — the load consumes no real power so it is not billed, yet its reactive current still flows through and heats the grid's wiring.
Why is a linear regulator needed after the rectifier and filter?;The filter output still carries a residual ripple (a ΔVin needing line regulation) and the load current varies (a ΔIout needing load regulation) — the regulator holds the output constant against both.
A linear regulator is conceptually what kind of circuit?;A variable voltage divider — a series resistance Rs and a parallel resistance Rp — in which one resistance is continuously adjusted to absorb load and line variations.
How does a shunt (parallel) linear regulator differ from a series one?;In a shunt regulator Rs is fixed and the parallel element (often a Zener diode) varies. In a series regulator the series element varies (the load itself acts as Rp), driven by negative feedback through an op-amp and pass transistor.
Why does powering the regulator's op-amp from Vin limit it, and what spec captures this?;Vin still carries the residual ripple, so some of it leaks through to the output — quantified by the Power Supply Rejection Ratio (PSRR).
Why is a band-gap reference preferred over a Zener for VREF?;Either can set the reference, but the band-gap is far more stable against temperature variation.
What does a three-terminal regulator integrate, and what protections are built in?;The whole series regulator (often including the divider, as in the fixed 78xx family) in one package, with internal thermal and over-current protection, an internal bootstrap for the reference, and external input/output capacitors.
Why does an LDO using a pnp or pMOS pass device risk instability?;The pass stage becomes a common-collector current amplifier whose loop gain depends on the load, creating stability problems that need careful design and an external output capacitor to add a compensation pole.
How does an nMOS-pass LDO avoid that stability problem?;It keeps the pass device as a common-source nMOS and internally boosts the op-amp's supply above Vin, so Vin need only exceed Vout by a few mV — and since the gate draws no current there are no load-dependent stability issues.
In a mains switching supply, what voltage do the rectifier, PFC and filter run at?;The full rectified mains peak, Vp = √2·230 ≈ 325 V, with the PFC's output capacitor often held around 390 V before the DC-DC stage steps it down.
Why put the transformer inside an isolated switching regulator rather than at the mains?;Run at 50 kHz to 1 MHz the transformer is far smaller, lighter and cheaper than a 50 Hz one, while still giving galvanic isolation and the voltage step-down.
What are the two blocks of a switching regulator?;A DC-to-DC converter that handles the power and transforms the input levels to the output levels, and a switching controller that senses the output and drives the converter by PWM to keep it constant.
In a Flyback, why move the switch to the low side and how are multiple outputs handled?;A low-side SW1 is referenced to ground and so easier to drive. Extra transformer secondaries give multiple outputs, but the controller drives only the common SW1 and regulates a single primary output — the others follow by turns ratio.
How does a Boost PFC shape the input current to look resistive?;It varies its duty cycle with the instantaneous input voltage so the average inductor current follows a sinusoid in phase with the voltage. Residual harmonics sit at the high switching frequency and are easily filtered.
Where do a switching regulator's losses come from, and which dominates?;Voltage drops on SW1 and SW2, the inductor's series resistance, the capacitor ESRs, and the power to drive the switches — the gate-drive losses are usually largest, leaving efficiency typically above 80% and up to 90%.
